titles	genres
Toy Story (1995)	animation
Jumanji (1995)	fantasy
Grumpier Old Men (1995)	comedy
Heat (1995)	action
Sabrina (1995)	romance
Sudden Death (1995)	action
GoldenEye (1995)	action
Cutthroat Island (1995)	action
Sense and Sensibility (1995)	romance
Four Rooms (1995)	comedy
Ace Ventura: When Nature Calls (1995)	comedy
City of Lost Children, The (Cité des enfants perdus, La) (1995)	sci-fi
Twelve Monkeys (a.k.a. 12 Monkeys) (1995)	sci-fi
Babe (1995)	fantasy
Clueless (1995)	romance
Mortal Kombat (1995)	action
Pocahontas (1995)	animation
Usual Suspects, The (1995)	comedy
Home for the Holidays (1995)	comedy
Friday (1995)	comedy
From Dusk Till Dawn (1996)	action
Screamers (1995)	sci-fi
Antonia's Line (Antonia) (1995)	fantasy
Black Sheep (1996)	comedy
Broken Arrow (1996)	action
Happy Gilmore (1996)	comedy
Bridges of Madison County, The (1995)	romance
Braveheart (1995)	action
Birdcage, The (1996)	comedy
Bad Boys (1995)	action
Batman Forever (1995)	action
Congo (1995)	action
Desperado (1995)	action
Die Hard: With a Vengeance (1995)	action
Hackers (1995)	action
Judge Dredd (1995)	sci-fi
Mallrats (1995)	comedy
Net, The (1995)	action
Nine Months (1995)	comedy
Strange Days (1995)	sci-fi
Under Siege 2: Dark Territory (1995)	action
Walk in the Clouds, A (1995)	romance
Waterworld (1995)	sci-fi
Before Sunrise (1995)	romance
Billy Madison (1995)	comedy
Clerks (1994)	comedy
Don Juan DeMarco (1995)	fantasy
Dumb & Dumber (Dumb and Dumber) (1994)	comedy
Exotica (1994)	romance
French Kiss (1995)	comedy
Heavenly Creatures (1994)	romance
I.Q. (1994)	romance
Interview with the Vampire: The Vampire Chronicles (1994)	fantasy
Star Wars: Episode IV - A New Hope (1977)	sci-fi
Little Women (1994)	romance
Major Payne (1995)	comedy
Milk Money (1994)	comedy
Pulp Fiction (1994)	action
Swan Princess, The (1994)	animation
Stargate (1994)	sci-fi
Santa Clause, The (1994)	fantasy
Shawshank Redemption, The (1994)	comedy
Tommy Boy (1995)	comedy
Muriel's Wedding (1994)	comedy
Ace Ventura: Pet Detective (1994)	comedy
Clear and Present Danger (1994)	action
Crow, The (1994)	romance
Flintstones, The (1994)	comedy
Forrest Gump (1994)	comedy
Four Weddings and a Funeral (1994)	romance
It Could Happen to You (1994)	comedy
Lion King, The (1994)	animation
Mask, The (1994)	comedy
Maverick (1994)	comedy
Naked Gun 33 1/3: The Final Insult (1994)	comedy
Richie Rich (1994)	comedy
Speed (1994)	action
True Lies (1994)	action
Bad Company (1995)	action
Street Fighter (1994)	action
Airheads (1994)	comedy
Air Up There, The (1994)	comedy
Beverly Hills Cop III (1994)	comedy
Blown Away (1994)	action
Carlito's Way (1993)	romance
Dave (1993)	comedy
Demolition Man (1993)	action
Fugitive, The (1993)	action
Hard Target (1993)	action
Hot Shots! Part Deux (1993)	comedy
Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)	comedy
Hudsucker Proxy, The (1994)	comedy
Jurassic Park (1993)	sci-fi
Last Action Hero (1993)	fantasy
Much Ado About Nothing (1993)	comedy
Mrs. Doubtfire (1993)	comedy
Next Karate Kid, The (1994)	romance
Ref, The (1994)	comedy
Remains of the Day, The (1993)	romance
Robin Hood: Men in Tights (1993)	comedy
Sleepless in Seattle (1993)	comedy
Blade Runner (1982)	sci-fi
So I Married an Axe Murderer (1993)	comedy
Super Mario Bros. (1993)	comedy
Threesome (1994)	comedy
Nightmare Before Christmas, The (1993)	animation
True Romance (1993)	romance
Welcome to the Dollhouse (1995)	comedy
Brady Bunch Movie, The (1995)	comedy
Home Alone (1990)	comedy
Ghost (1990)	romance
Aladdin (1992)	animation
Terminator 2: Judgment Day (1991)	sci-fi
Batman (1989)	action
Silence of the Lambs, The (1991)	action
Snow White and the Seven Dwarfs (1937)	animation
Beauty and the Beast (1991)	animation
Pinocchio (1940)	fantasy
Pretty Woman (1990)	romance
One Fine Day (1996)	romance
Heavy Metal (1981)	sci-fi
Aristocats, The (1970)	animation
All Dogs Go to Heaven 2 (1996)	animation
Mission: Impossible (1996)	action
Dragonheart (1996)	fantasy
James and the Giant Peach (1996)	animation
Kids in the Hall: Brain Candy (1996)	comedy
Mystery Science Theater 3000: The Movie (1996)	comedy
Space Jam (1996)	animation
Barbarella (1968)	sci-fi
Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)	sci-fi
Visitors, The (Visiteurs, Les) (1993)	comedy
Wallace & Gromit: The Best of Aardman Animation (1996)	comedy
Cold Comfort Farm (1995)	comedy
Rock, The (1996)	action
Twister (1996)	action
Ghost in the Shell (Kôkaku kidôtai) (1995)	sci-fi
Wallace & Gromit: A Close Shave (1995)	animation
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964)	comedy
Jack (1996)	comedy
Independence Day (a.k.a. ID4) (1996)	sci-fi
Kingpin (1996)	comedy
Eraser (1996)	action
Nutty Professor, The (1996)	comedy
Daylight (1996)	action
Fled (1996)	action
Ransom (1996)	action
High School High (1996)	comedy
Matilda (1996)	comedy
Emma (1996)	comedy
Mother Night (1996)	romance
Singin' in the Rain (1952)	comedy
Breakfast at Tiffany's (1961)	romance
Vertigo (1958)	romance
Apartment, The (1960)	romance
Some Like It Hot (1959)	comedy
Charade (1963)	romance
Casablanca (1942)	romance
My Fair Lady (1964)	romance
Sabrina (1954)	romance
Roman Holiday (1953)	romance
Wizard of Oz, The (1939)	fantasy
Gone with the Wind (1939)	romance
2001: A Space Odyssey (1968)	sci-fi
Notorious (1946)	romance
Gigi (1958)	romance
Laura (1944)	romance
Ghost and Mrs. Muir, The (1947)	romance
Lost Horizon (1937)	fantasy
To Be or Not to Be (1942)	comedy
My Man Godfrey (1936)	comedy
Thin Man, The (1934)	comedy
His Girl Friday (1940)	comedy
It's a Wonderful Life (1946)	fantasy
Bringing Up Baby (1938)	comedy
African Queen, The (1951)	romance
Maximum Risk (1996)	action
Last Man Standing (1996)	action
Cool Runnings (1993)	comedy
Cinderella (1950)	animation
Winnie the Pooh and the Blustery Day (1968)	animation
Sword in the Stone, The (1963)	animation
Robin Hood: Prince of Thieves (1991)	comedy
Mary Poppins (1964)	animation
Dumbo (1941)	animation
Pete's Dragon (1977)	action
Alice in Wonderland (1951)	animation
Fox and the Hound, The (1981)	animation
Die Hard (1988)	action
Long Kiss Goodnight, The (1996)	action
Everyone Says I Love You (1996)	comedy
William Shakespeare's Romeo + Juliet (1996)	romance
Aladdin and the King of Thieves (1996)	comedy
Willy Wonka & the Chocolate Factory (1971)	fantasy
Sleeper (1973)	comedy
Bananas (1971)	comedy
Monty Python's Life of Brian (1979)	comedy
Great Race, The (1965)	comedy
Bonnie and Clyde (1967)	romance
Dirty Dancing (1987)	romance
Platoon (1986)	action
Weekend at Bernie's (1989)	comedy
E.T. the Extra-Terrestrial (1982)	sci-fi
Days of Thunder (1990)	action
Top Gun (1986)	action
People vs. Larry Flynt, The (1996)	comedy
Abyss, The (1989)	sci-fi
Escape from New York (1981)	action
Monty Python and the Holy Grail (1975)	comedy
Wallace & Gromit: The Wrong Trousers (1993)	animation
Delicatessen (1991)	comedy
Strictly Ballroom (1992)	romance
Star Wars: Episode V - The Empire Strikes Back (1980)	sci-fi
Princess Bride, The (1987)	fantasy
Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981)	action
Brazil (1985)	sci-fi
Aliens (1986)	sci-fi
Apocalypse Now (1979)	action
Once Upon a Time in the West (C'era una volta il West) (1968)	action
Star Wars: Episode VI - Return of the Jedi (1983)	sci-fi
Alien (1979)	sci-fi
Army of Darkness (1993)	comedy
Blues Brothers, The (1980)	comedy
Full Metal Jacket (1987)	action
Grand Day Out with Wallace and Gromit, A (1989)	comedy
Annie Hall (1977)	comedy
Stalker (1979)	sci-fi
Terminator, The (1984)	sci-fi
Manhattan (1979)	comedy
Graduate, The (1967)	comedy
Femme Nikita, La (Nikita) (1990)	action
8 1/2 (8½) (1963)	fantasy
Day the Earth Stood Still, The (1951)	sci-fi
Great Escape, The (1963)	action
Groundhog Day (1993)	comedy
Back to the Future (1985)	sci-fi
Akira (1988)	animation
Highlander (1986)	fantasy
Cyrano de Bergerac (1990)	romance
Young Frankenstein (1974)	comedy
Fantasia (1940)	animation
Somewhere in Time (1980)	romance
This Is Spinal Tap (1984)	comedy
Some Kind of Wonderful (1987)	romance
Indiana Jones and the Last Crusade (1989)	action
Pink Floyd: The Wall (1982)	animation
Forbidden Planet (1956)	sci-fi
Field of Dreams (1989)	fantasy
When Harry Met Sally... (1989)	romance
Alien³ (a.k.a. Alien 3) (1992)	sci-fi
Cape Fear (1962)	action
Cat People (1982)	fantasy
Star Trek: First Contact (1996)	sci-fi
101 Dalmatians (1996)	comedy
Die Hard 2 (1990)	action
Star Trek: The Motion Picture (1979)	sci-fi
Star Trek VI: The Undiscovered Country (1991)	sci-fi
Star Trek II: The Wrath of Khan (1982)	sci-fi
Star Trek III: The Search for Spock (1984)	sci-fi
Star Trek IV: The Voyage Home (1986)	sci-fi
Batman Returns (1992)	action
Young Guns (1988)	comedy
Under Siege (1992)	action
Mars Attacks! (1996)	comedy
Jerry Maguire (1996)	comedy
Raising Arizona (1987)	comedy
Sneakers (1992)	comedy
Last of the Mohicans, The (1992)	romance
Hamlet (1996)	romance
Fierce Creatures (1997)	comedy
Benny & Joon (1993)	comedy
Beautician and the Beast, The (1997)	comedy
Smilla's Sense of Snow (1997)	sci-fi
Liar Liar (1997)	comedy
Cats Don't Dance (1997)	animation
Inventing the Abbotts (1997)	romance
Anaconda (1997)	comedy
Romy and Michele's High School Reunion (1997)	comedy
Volcano (1997)	sci-fi
Austin Powers: International Man of Mystery (1997)	comedy
Fifth Element, The (1997)	sci-fi
Nowhere (1997)	sci-fi
Shall We Dance? (Shall We Dansu?) (1996)	romance
Addicted to Love (1997)	comedy
Con Air (1997)	action
Pillow Book, The (1996)	romance
Batman & Robin (1997)	action
Hercules (1997)	animation
My Best Friend's Wedding (1997)	romance
Face/Off (1997)	action
Men in Black (a.k.a. MIB) (1997)	sci-fi
Simple Wish, A (1997)	fantasy
Contact (1997)	sci-fi
G.I. Jane (1997)	action
Conan the Barbarian (1982)	action
Event Horizon (1997)	sci-fi
Excess Baggage (1997)	romance
Air Force One (1997)	action
Hunt for Red October, The (1990)	action
Game, The (1997)	action
U Turn (1997)	romance
Gattaca (1997)	sci-fi
Stripes (1981)	comedy
Witness (1985)	romance
Starship Troopers (1997)	sci-fi
Mortal Kombat: Annihilation (1997)	action
Truman Show, The (1998)	fantasy
Anastasia (1997)	animation
Man Who Knew Too Little, The (1997)	comedy
Alien: Resurrection (1997)	sci-fi
Flubber (1997)	romance
Titanic (1997)	romance
Tomorrow Never Dies (1997)	action
Big Lebowski, The (1998)	comedy
Wag the Dog (1997)	comedy
Dark City (1998)	sci-fi
Half Baked (1998)	comedy
Wedding Singer, The (1998)	comedy
Sphere (1998)	sci-fi
As Good as It Gets (1997)	comedy
Lost in Space (1998)	sci-fi
Big Hit, The (1998)	comedy
Deep Impact (1998)	sci-fi
Quest for Camelot (1998)	animation
Godzilla (1998)	sci-fi
Bulworth (1998)	comedy
Fear and Loathing in Las Vegas (1998)	comedy
Six Days Seven Nights (1998)	romance
Mulan (1998)	animation
X-Files: Fight the Future, The (1998)	action
Dr. Dolittle (1998)	comedy
Armageddon (1998)	sci-fi
Lethal Weapon 4 (1998)	action
There's Something About Mary (1998)	comedy
Great Ziegfeld, The (1936)	comedy
Man for All Seasons, A (1966)	comedy
French Connection, The (1971)	action
Rocky (1976)	romance
Out of Africa (1985)	romance
Labyrinth (1986)	fantasy
Nightmare on Elm Street 3: Dream Warriors, A (1987)	fantasy
Lethal Weapon (1987)	action
Lethal Weapon 2 (1989)	action
Lethal Weapon 3 (1992)	action
Gremlins (1984)	comedy
Mask of Zorro, The (1998)	action
Soylent Green (1973)	sci-fi
Metropolis (1927)	sci-fi
Back to the Future Part II (1989)	sci-fi
Back to the Future Part III (1990)	sci-fi
Freaky Friday (1977)	fantasy
Absent-Minded Professor, The (1961)	fantasy
Bambi (1942)	animation
Seven Samurai (Shichinin no samurai) (1954)	action
Dune (1984)	sci-fi
Godfather: Part III, The (1990)	action
Saving Private Ryan (1998)	action
Black Cauldron, The (1985)	fantasy
Flight of the Navigator (1986)	sci-fi
Great Mouse Detective, The (1986)	animation
Honey, I Shrunk the Kids (1989)	fantasy
BASEketball (1998)	comedy
Purple Rose of Cairo, The (1985)	fantasy
Jungle Book, The (1967)	animation
Lady and the Tramp (1955)	animation
Little Mermaid, The (1989)	animation
101 Dalmatians (One Hundred and One Dalmatians) (1961)	animation
Peter Pan (1953)	animation
Return of Jafar, The (1994)	animation
Return to Oz (1985)	fantasy
Sleeping Beauty (1959)	animation
Splash (1984)	romance
Tron (1982)	sci-fi
Indiana Jones and the Temple of Doom (1984)	action
Lord of the Rings, The (1978)	fantasy
1984 (Nineteen Eighty-Four) (1984)	sci-fi
All Dogs Go to Heaven (1989)	animation
Ever After: A Cinderella Story (1998)	romance
Adventures in Babysitting (1987)	comedy
Weird Science (1985)	comedy
Doctor Dolittle (1967)	fantasy
Charlotte's Web (1973)	animation
Watership Down (1978)	animation
Secret of NIMH, The (1982)	fantasy
Dark Crystal, The (1982)	fantasy
American Tail: Fievel Goes West, An (1991)	animation
Legend (1985)	fantasy
Pretty in Pink (1986)	comedy
Gods Must Be Crazy, The (1980)	comedy
NeverEnding Story II: The Next Chapter, The (1990)	fantasy
Blade (1998)	action
Beetlejuice (1988)	comedy
Marnie (1964)	romance
Willow (1988)	fantasy
Dirty Work (1998)	comedy
Say Anything... (1989)	comedy
We're No Angels (1989)	comedy
Rush Hour (1998)	comedy
Ronin (1998)	action
Them! (1954)	sci-fi
Thing, The (1982)	sci-fi
Player, The (1992)	comedy
Edward Scissorhands (1990)	fantasy
Antz (1998)	animation
My Cousin Vinny (1992)	comedy
2010: The Year We Make Contact (1984)	sci-fi
Pleasantville (1998)	fantasy
Soldier (1998)	sci-fi
Life Is Beautiful (La Vita è bella) (1997)	comedy
Orgazmo (1997)	comedy
Waterboy, The (1998)	comedy
Stepford Wives, The (1975)	sci-fi
Rugrats Movie, The (1998)	animation
Bug's Life, A (1998)	animation
King Kong (1933)	action
Fletch (1985)	comedy
Red Sonja (1985)	fantasy
Money Pit, The (1986)	comedy
Police Academy (1984)	comedy
Police Academy 2: Their First Assignment (1985)	comedy
Police Academy 3: Back in Training (1986)	comedy
Police Academy 4: Citizens on Patrol (1987)	comedy
Police Academy 5: Assignment: Miami Beach (1988)	comedy
Police Academy 6: City Under Siege (1989)	comedy
Babe: Pig in the City (1998)	animation
Star Trek: Insurrection (1998)	sci-fi
Prince of Egypt, The (1998)	animation
Rushmore (1998)	comedy
Shakespeare in Love (1998)	romance
Rambo: First Blood Part II (1985)	action
First Blood (Rambo: First Blood) (1982)	action
Rambo III (1988)	action
Jewel of the Nile, The (1985)	action
Romancing the Stone (1984)	action
Rocky IV (1985)	action
Rocky V (1990)	action
Karate Kid, The (1984)	comedy
Christmas Vacation (National Lampoon's Christmas Vacation) (1989)	comedy
You've Got Mail (1998)	romance
Faculty, The (1998)	sci-fi
Patch Adams (1998)	comedy
At First Sight (1999)	romance
Howard the Duck (1986)	sci-fi
Fly, The (1958)	sci-fi
Fly, The (1986)	sci-fi
Ruthless People (1986)	comedy
¡Three Amigos! (1986)	comedy
She's All That (1999)	romance
Payback (1999)	action
Fantastic Planet, The (Planète sauvage, La) (1973)	sci-fi
Message in a Bottle (1999)	romance
Office Space (1999)	comedy
Breakfast of Champions (1999)	comedy
Westworld (1973)	sci-fi
Logan's Run (1976)	sci-fi
Beneath the Planet of the Apes (1970)	sci-fi
Conquest of the Planet of the Apes (1972)	sci-fi
Analyze This (1999)	comedy
Lock, Stock & Two Smoking Barrels (1998)	comedy
Wing Commander (1999)	sci-fi
King and I, The (1999)	animation
Matrix, The (1999)	sci-fi
10 Things I Hate About You (1999)	comedy
Go (1999)	comedy
Never Been Kissed (1999)	romance
Life (1999)	comedy
eXistenZ (1999)	sci-fi
Night of the Comet (1984)	sci-fi
Mummy, The (1999)	action
Castle, The (1997)	comedy
Star Wars: Episode I - The Phantom Menace (1999)	sci-fi
Superman (1978)	sci-fi
Superman II (1980)	sci-fi
Thing from Another World, The (1951)	sci-fi
Invasion of the Body Snatchers (1956)	sci-fi
Swamp Thing (1982)	sci-fi
Notting Hill (1999)	romance
Ideal Husband, An (1999)	comedy
Run Lola Run (Lola rennt) (1998)	animation
Dinner Game, The (Dîner de cons, Le) (1998)	comedy
Arachnophobia (1990)	action
Wild Wild West (1999)	sci-fi
American Pie (1999)	comedy
Lake Placid (1999)	action
Ghostbusters (a.k.a. Ghost Busters) (1984)	comedy
Ghostbusters II (1989)	comedy
Deep Blue Sea (1999)	action
Mystery Men (1999)	comedy
Spartacus (1960)	romance
Lolita (1962)	romance
Brighton Beach Memoirs (1986)	comedy
Iron Giant, The (1999)	animation
Thomas Crown Affair, The (1999)	comedy
Bowfinger (1999)	comedy
Detroit Rock City (1999)	comedy
Tomb of Ligeia, The (1965)	romance
Monty Python's And Now for Something Completely Different (1971)	comedy
Airplane! (1980)	comedy
National Lampoon's Vacation (1983)	comedy
Funny Farm (1988)	comedy
Big (1988)	comedy
Little Nemo: Adventures in Slumberland (1992)	animation
Mickey Blue Eyes (1999)	comedy
Universal Soldier (1992)	action
13th Warrior, The (1999)	fantasy
Outside Providence (1999)	romance
Black Cat, White Cat (Crna macka, beli macor) (1998)	comedy
Yellow Submarine (1968)	animation
American Beauty (1999)	comedy
Hard Day's Night, A (1964)	comedy
Simon Sez (1999)	comedy
Three Kings (1999)	comedy
Phantasm (1979)	sci-fi
Total Recall (1990)	sci-fi
Ferris Bueller's Day Off (1986)	comedy
Reds (1981)	romance
Lady Eve, The (1941)	romance
Sullivan's Travels (1941)	comedy
Goldfinger (1964)	action
Fistful of Dollars, A (Per un pugno di dollari) (1964)	action
Home Alone 2: Lost in New York (1992)	comedy
Fight Club (1999)	action
Time Bandits (1981)	action
RoboCop (1987)	sci-fi
Who Framed Roger Rabbit? (1988)	animation
Being John Malkovich (1999)	sci-fi
Princess Mononoke (Mononoke-hime) (1997)	fantasy
Train of Life (Train de vie) (1998)	comedy
Last Night (1998)	romance
General, The (1926)	comedy
Spaceballs (1987)	comedy
Little Big Man (1970)	comedy
Trading Places (1983)	comedy
Longest Day, The (1962)	action
Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)	sci-fi
Babes in Toyland (1934)	fantasy
Scrooged (1988)	comedy
Harvey (1950)	comedy
Midnight Run (1988)	comedy
End of Days (1999)	action
Toy Story 2 (1999)	animation
Deuce Bigalow: Male Gigolo (1999)	comedy
7th Voyage of Sinbad, The (1958)	fantasy
Bicentennial Man (1999)	sci-fi
Stuart Little (1999)	comedy
Fantasia 2000 (1999)	animation
Galaxy Quest (1999)	sci-fi
Supernova (2000)	sci-fi
Fast Times at Ridgemont High (1982)	romance
Wayne's World (1992)	comedy
Bodyguard, The (1992)	romance
Far and Away (1992)	romance
White Men Can't Jump (1992)	comedy
Buffy the Vampire Slayer (1992)	comedy
Hard-Boiled (Lat sau san taam) (1992)	action
Stop! Or My Mom Will Shoot (1992)	comedy
Cutting Edge, The (1992)	romance
Single White Female (1992)	romance
Boondock Saints, The (2000)	action
Beach, The (2000)	romance
Pitch Black (2000)	sci-fi
Whole Nine Yards, The (2000)	comedy
City Lights (1931)	comedy
Defending Your Life (1991)	romance
Harry and the Hendersons (1987)	comedy
Final Destination (2000)	fantasy
Animal House (1978)	comedy
Grumpy Old Men (1993)	comedy
Modern Times (1936)	comedy
Hustler, The (1961)	romance
Close Encounters of the Third Kind (1977)	sci-fi
Ladyhawke (1985)	fantasy
High Fidelity (2000)	comedy
Road to El Dorado, The (2000)	animation
Hook (1991)	fantasy
Solaris (Solyaris) (1972)	sci-fi
Network (1976)	comedy
Frequency (2000)	fantasy
Return to Me (2000)	romance
Parenthood (1989)	comedy
Predator (1987)	action
Caddyshack (1980)	comedy
Gladiator (2000)	action
Human Traffic (1999)	romance
Battlefield Earth (2000)	sci-fi
Pee-wee's Big Adventure (1985)	comedy
Road Trip (2000)	comedy
Twelve Chairs, The (1970)	comedy
Mission: Impossible II (2000)	action
Shanghai Noon (2000)	comedy
Gold Rush, The (1925)	comedy
King in New York, A (1957)	comedy
Big Momma's House (2000)	comedy
Guns of Navarone, The (1961)	action
Blazing Saddles (1974)	comedy
For a Few Dollars More (Per qualche dollaro in più) (1965)	action
Flatliners (1990)	sci-fi
Light Years (Gandahar) (1988)	animation
Night of the Creeps (1986)	comedy
Predator 2 (1990)	action
Starman (1984)	romance
Brother from Another Planet, The (1984)	sci-fi
Mad Max (1979)	sci-fi
Road Warrior, The (Mad Max 2) (1981)	action
Mad Max Beyond Thunderdome (1985)	action
Bird on a Wire (1990)	action
Soapdish (1991)	comedy
Gone in 60 Seconds (2000)	action
Titan A.E. (2000)	animation
Chicken Run (2000)	animation
Me, Myself & Irene (2000)	comedy
Fun and Fancy Free (1947)	animation
Kentucky Fried Movie, The (1977)	comedy
Thunderbolt and Lightfoot (1974)	comedy
Scary Movie (2000)	comedy
Shower (Xizao) (1999)	comedy
X-Men (2000)	action
Love and Death (1975)	comedy
Coyote Ugly (2000)	comedy
Hollow Man (2000)	action
Saving Grace (2000)	comedy
Brain That Wouldn't Die, The (1962)	sci-fi
Phantasm II (1988)	sci-fi
I'm the One That I Want (2000)	comedy
Replacements, The (2000)	comedy
Naked Gun: From the Files of Police Squad!, The (1988)	comedy
Naked Gun 2 1/2: The Smell of Fear, The (1991)	comedy
Best in Show (2000)	comedy
Runaway (1984)	action
Meet the Parents (2000)	comedy
Pay It Forward (2000)	comedy
